,pred
0,258963.27
1,1882818.91
2,471084.3066666667
3,426590.9895714286
4,584325.0
5,1170095.0
6,590691.0
7,196732.67857142858
8,1475454.99
9,475220.82
10,3089566.1466666665
11,681465.0
12,639994.79
13,351880.2766666666
14,1214050.0
15,3138075.0
16,462849.9
17,472096.57
18,2744658.0
19,2149562.5
20,362822.16160317464
21,559096.8066666666
22,295805.14633333345
23,539936.0433333333
24,1094119.69
25,2416831.64
26,355279.59
27,414885.1
28,1021836.9893809524
29,518732.16
30,527316.0
31,875276.7
32,681031.7
33,916198.73
34,440922.43
35,1151275.0
36,181773.01854794574
37,480345.36999999994
38,1178081.8116190478
39,347921.48475277505
40,236508.35720709848
41,242474.39573001105
42,648534.0
43,1208715.58
44,1075887.66
45,1343025.57
46,1269792.315233786
47,1360425.0
48,786452.6992063492
49,531132.22
50,343964.73
51,427687.18
52,979411.36
53,229476.67290348542
54,691464.25
55,688238.33
56,1170028.3542857142
57,1471305.0
58,443360.4328571428
59,958666.6252380954
60,515781.15285714285
61,1492364.2843666715
62,644761.92
63,2185427.0
64,653465.0
65,584562.3
66,2464820.0
67,1502486.7
68,549429.755952381
69,187792.6785714286
70,298877.3263023088
71,202975.22563492059
72,284297.5361003646
73,507540.0
74,362674.8
75,1469896.56
76,640299.6566666666
77,1648412.02
78,313655.31341666676
79,520450.0
80,171524.96825396825
81,1339026.8333333333
82,678065.0
83,2573175.0
84,681595.0
85,213692.73376190485
86,586173.8591261343
87,321206.08
88,1921699.24997225
89,1171056.66
90,1423243.93
91,621557.47
92,305660.0
93,477113.1333333333
94,311066.5603333333
95,456240.0
96,586173.8591261343
97,524214.0
98,1380718.3757900435
99,1974238.12
100,2307588.13
101,2446292.7666666666
102,718349.938968254
103,264824.55666666664
104,1711071.23
105,1187400.6
106,1778249.4
107,771547.0
108,1142704.63
109,399009.88
110,501267.0
111,791250.0
112,666999.73
113,594478.96
114,261165.55
115,679609.73
116,927527.294372294
117,620740.0
118,3190509.0
119,1704296.74
120,1168611.06
121,1445984.92
122,602090.95
123,705249.84
124,1202593.3
125,783241.515
126,463555.0
127,893700.58
128,1010651.54
129,388038.25
130,597567.245
131,3417525.0
132,705139.74
133,575737.6266666666
134,1009723.57
135,940464.125
136,1179370.0
137,907089.96
138,3369464.43
139,288617.3333333334
140,288748.88503280614
141,306082.62
142,526846.01
143,265272.46
144,728178.75
145,1020410.0
146,873547.4024031525
147,769617.9404761908
148,236508.35720709848
149,291081.6666666667
150,475514.41
151,194953.75000000003
152,453395.2766666666
153,248085.0
154,564262.56
155,333544.5932539683
156,311820.0
157,561130.333968254
158,854378.2885714286
159,665974.7307913534
160,539810.0
161,718842.9355516934
162,726923.54
163,678534.0377489178
164,512763.94
165,324015.09290059225
166,208926.93997113995
167,275739.81
168,352859.6482683982
169,505230.76
170,758971.7123015873
171,489559.2933333333
172,2200300.0
173,928365.5719047621
174,689611.7023809524
175,681360.25
176,664728.88
177,793678.375
178,1999255.44
179,420410.0
180,294032.9960317461
181,1047396.2627927625
182,479550.16
183,657495.8473193473
184,371792.05321428576
185,937209.54
186,3036039.76
187,369786.849
188,832688.9
189,1742074.0238095247
190,444236.1033333333
191,726056.4533333335
192,358876.37
193,404678.72
194,680440.3071428571
195,603766.66
196,712300.0
197,367649.77
198,512771.0066666667
199,510062.8
200,860228.575036075
201,867224.2471139969
202,502327.7
203,855531.4641259382
204,323137.10530158714
205,865005.49
206,858009.83
207,539985.0
208,2803674.5
209,504861.01
210,1227250.0
211,581899.78
212,655259.2
213,423798.89
214,1001063.01
215,196356.78
216,1767925.0
217,368120.7606666666
218,457170.0
219,1279665.79
220,485429.99
221,796577.875
222,476825.5
223,1102995.0
224,427868.62
225,510372.3900000001
226,939304.85
227,995429.53
228,806050.0
229,1828020.4019999998
230,721401.92
231,526991.6666666666
232,385647.5
233,1236114.7101737843
234,958918.34
235,2113045.04
236,455879.7
237,947740.0
238,356476.00554392993
239,500159.0
240,307506.08
241,616116.6666666667
242,1569937.5
243,529701.85
244,741950.0
245,2581290.0
246,1105603.531138796
247,404349.39
248,420201.0
249,1602597.73
250,893551.04
251,1511370.183333333
252,311548.55402830703
253,3652564.16
254,679402.5
255,718471.1887481953
256,785389.89
257,417529.52
258,502145.6666666666
259,1204891.48
260,656052.98
261,607287.23
262,298513.0
263,515583.64
264,986789.0
265,502144.5
266,2690543.58
267,1163672.36
268,539623.1746031747
269,897974.24
270,855131.9
271,944350.0
272,532591.92
273,796061.2733333334
274,586173.8591261343
275,329610.7133333333
276,611168.9
277,586173.8591261343
278,117905.45039682538
279,492984.66
280,557669.99
281,854520.0
282,1761952.25
283,1176099.6766666665
284,303782.52621267625
285,280205.80930321873
286,963757.49
287,518023.7392178218
288,1579926.09
289,318307.11904761905
290,711533.64
291,983931.314
292,1035408.19
293,749373.7333333334
294,697228.6893980466
295,1078458.2
296,395351.0
297,430528.66666666674
298,758828.88
299,2601713.24
300,439681.0
301,983006.4803856421
302,399183.19
303,1467788.7
304,647588.48
305,1178081.8116190478
306,1342164.58
307,806214.66
308,956258.82
309,546043.4
310,841269.0
311,224665.0
312,1519790.0
313,706408.7557142857
314,1895300.1426666665
315,2560576.76
316,1150325.0000000002
317,1205007.76
318,461536.43
319,753901.0138473824
320,419719.46
321,484172.9233333333
322,342626.6308333333
323,311548.55402830703
324,578158.7
325,285205.5
326,735079.8322510822
327,1831873.6992370132
328,507363.13
329,1320939.99
330,1167089.6666666665
331,537966.08
332,698423.8951361141
333,3901973.43
334,836569.9747474748
335,493507.78
336,1215868.91
337,760533.3
338,1419733.83
339,409582.25
340,391510.6
341,1115935.875
342,804264.9166666665
343,683475.5383333333
344,491901.85
345,718039.3
346,1094670.6385714286
347,434211.1383333333
348,1210660.33
349,644786.7584784495
350,830505.0
351,437840.7
352,857400.0
353,1033895.12
354,431925.52
355,177914.76190476186
356,619340.89
357,264509.1237261834
358,3511357.946666667
359,338685.0
360,1631750.0
361,616068.0
362,575019.8549362329
363,804870.0
364,770390.69
365,1506730.81
366,1075462.25
367,1844447.573
368,859190.0
369,756942.0266666666
370,474132.47428571427
371,575071.2
372,1423533.75
373,291039.69345029246
374,674990.7667887667
375,470991.03333333327
376,256135.6080952381
377,834149.76
378,137839.51047619048
379,610796.2033333334
380,268476.2848571429
381,764551.12
382,565336.1
383,1589012.5
384,2095558.86
385,904618.91
386,639665.1
387,3496122.5
388,197500.95238095234
389,351976.93
390,567154.47
391,1158868.88
392,276441.85
393,283621.22849927854
394,388023.75
395,1826876.23
396,319445.7385873016
397,203270.8597626216
398,717336.0
399,339857.33333333326
400,443364.6033333333
401,750692.75
402,1015237.09
403,436628.3333333334
404,591426.16
405,1316828.02
406,2053693.26
407,933453.07
408,628089.87
409,551033.7845107865
410,575056.96
411,3293251.38
412,434645.005
413,638165.26
414,700448.52
415,1049080.0000000002
416,503454.93
417,1543526.11
418,1873970.4255119038
