,pred
0,433395.8643213664
1,2116028.523937483
2,499666.6387267616
3,368076.6104206515
4,674024.4161197763
5,810099.8442245859
6,452241.87450158445
7,245747.38550620648
8,1149128.1281978341
9,464322.7297148127
10,2148843.9753939155
11,657523.7344095375
12,917496.5648466438
13,572176.4852874704
14,1167974.105885016
15,2881279.747154858
16,434592.8913171454
17,468987.37748065667
18,2828785.138642303
19,1472320.4518686417
20,460911.76157228934
21,454730.23983230995
22,311383.89107702323
23,531602.9907947022
24,1067158.5875425267
25,2160352.0503253387
26,414872.45945657784
27,461348.1667478726
28,983083.7419596754
29,518411.8975547418
30,662626.4494835443
31,612662.8832823175
32,683533.3618166738
33,897507.3760451025
34,434361.05887217954
35,1511646.2878976527
36,201337.61677844965
37,464971.97577153845
38,1190942.0878113245
39,396672.9271490045
40,228786.53619693356
41,210231.3051723111
42,812078.1765955879
43,1678325.1841101118
44,1089624.5698536157
45,1407006.1418270024
46,1527054.632075821
47,1249842.1324987719
48,788897.8727085413
49,537989.157109314
50,406340.1183578548
51,535340.2213998662
52,861116.8174049603
53,243070.29410190973
54,649774.3159024381
55,774654.1292348695
56,895171.4807636961
57,1635364.1777960947
58,429404.59155837144
59,1110384.5298689138
60,617475.3353391228
61,1452345.402732728
62,807804.195623965
63,1126925.904822762
64,580679.5656649834
65,546072.8437278846
66,2139764.7256256966
67,1446771.0765862437
68,798779.0082005179
69,205954.96138879075
70,320510.4249451812
71,204351.86876985073
72,285880.35483137355
73,646719.5611052663
74,362297.32867467345
75,1234466.4016162416
76,523894.18148141814
77,839876.3647058156
78,281948.0224377798
79,437782.5896067934
80,213567.22066658252
81,1604956.5528705802
82,762263.152691242
83,2869748.297776327
84,564126.4653702694
85,245194.56624877674
86,577764.9930566045
87,364303.9301813801
88,1767854.2623186829
89,1128138.5265512303
90,978275.5713479422
91,625205.8154119196
92,377178.6003128534
93,470692.23793563247
94,366435.38276292995
95,540737.1214993071
96,432541.86230136134
97,493136.0902378102
98,1451212.2436046002
99,1735752.1904545862
100,2094465.8301033594
101,2110140.3555080844
102,726503.8085303301
103,402555.808197256
104,1746645.3344651652
105,1418447.101131107
106,1430095.5557190042
107,782348.8887230465
108,873515.3188731608
109,494871.79223966243
110,551420.1583243108
111,766444.3125097156
112,356985.35915213346
113,622935.5805363869
114,249902.50384035762
115,869351.7683971189
116,970022.6033826
117,595537.8381065166
118,2760609.4256758355
119,1337141.5982390225
120,1015230.4688965629
121,1329176.1685128566
122,592662.0382338219
123,800846.0621767123
124,1052756.2370993032
125,1052785.7498311594
126,490335.96719679073
127,837619.8478674638
128,1010524.0051878135
129,575053.6585678353
130,503260.9877951694
131,3115424.978308133
132,1763142.1697505906
133,483567.48229658825
134,1094067.568332839
